ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
546	Bru-Ubon	bru	iron		təːʔ	t əː ʔ	t I 7	T V H	T E H	5	1100
547	Khmer-Surin	kxm	iron		dɛːɁ	d ɛː Ɂ	d E 7	T V H	T E H	5	1100
548	Khmer-Standard	khm	iron		daeɁ	d ae Ɂ	d a 7	T V H	T A H	5	1100
549	Vietnamese	vie	iron		sắt	s a t	s a t	S V T	S A T	25	1098
550	Bahnar-Golar	bdq	leaf		hlaː	h l aː	h l a	H R V	H L A	1	1104
551	Bahnar-Kontum	bdq	leaf		hlaː	h l aː	h l a	H R V	H L A	1	1104
552	Bahnar-Pleiku	bdq	leaf		hlaː	h l aː	h l a	H R V	H L A	1	1104
553	Bru-Talan	oog	leaf		həlaˀa	h ə l aˀa	h I l a	H V R V	H E L A	1	1104
554	Bru-Ubon	bru	leaf		səlaː	s ə l aː	s I l a	S V R V	S E L A	1	1104
555	Khmer-Surin	kxm	leaf		slʌʔ	s l ʌ ʔ	s l o 7	S R V H	S L E H	1	1104
556	Khmer-Standard	khm	leaf		slək	s l ə k	s l I k	S R V K	S L E K	1	1104
557	Mon	mnw	leaf		hlaʔ	h l a ʔ	h l a 7	H R V H	H L A H	1	1104
558	Vietnamese	vie	leaf		lá	l á	l a	R V	L A	1	1104
559	Bahnar-Golar	bdq	leech -land		pləːm	p l əː m	p l I m	P R V M	P L E M	1	1113
560	Bahnar-Kontum	bdq	leech -land		pləːm	p l əː m	p l I m	P R V M	P L E M	1	1113
561	Bahnar-Pleiku	bdq	leech -land		pləːm	p l əː m	p l I m	P R V M	P L E M	1	1113
562	Bru-Talan	oog	leech -land		plɔːm	p l ɔː m	p l o m	P R V M	P L U M	1	1113
563	Bru-Ubon	bru	leech -land		pləːm	p l əː m	p l I m	P R V M	P L E M	1	1113
564	Khmer-Standard	khm	leech -land		tiəʔ	t iə ʔ	t i 7	T V H	T I H	6	1120
565	Mon	mnw	leech -land		klɔm	k l ɔ m	k l o m	K R V M	K L U M	1	1113
566	Vietnamese	vie	leech -land		conđỉa	con đỉa	T 8	K T	C D	19	1118
567	Bahnar-Golar	bdq	left -side		ŋiãɔ	ŋ iãɔ	N i	N V	N I	8	1134
568	Bahnar-Kontum	bdq	left -side		ŋiãɔ	ŋ iãɔ	N i	N V	N I	8	1134
569	Bahnar-Pleiku	bdq	left -side		ʔŋjɛw	ʔ ŋ j ɛ w	7 N y E w	H N J V W	H N J E W	8	1134
570	Bru-Talan	oog	left -side		wiˀar	w iˀa r	w i r	W V R	W I R	7	1133
571	Bru-Ubon	bru	left -side		ʔaːwe̤ːr	ʔ aː w e̤ː r	7 a w e r	H V W V R	H A W E R	7	1133
572	Khmer-Surin	kxm	left -side		ʨhweːɲ	ʨ h w eː ɲ	C h w e H	K H W V N	C H W E N	12	1125
573	Khmer-Standard	khm	left -side		cweiŋ	c w ei ŋ	T w e N	K W V N	C W E N	12	1125
574	Mon	mnw	left -side		paɛ	p aɛ	p a	P V	P A	10	1123
575	Vietnamese	vie	left -side		trái	t r ái	t r a	T R V	T R A	24	1131
576	Bahnar-Golar	bdq	light -weight		hjəːc	h j əː c	h y I T	H J V K	H J E C	5	1146
577	Bahnar-Kontum	bdq	light -weight		hjəːc	h j əː c	h y I T	H J V K	H J E C	5	1146
578	Bahnar-Pleiku	bdq	light -weight		həʔjəːc	h ə ʔ j əː c	h I 7 y I T	H V H J V K	H E H J E C	5	1146
579	Bru-Talan	oog	light -weight		həŋaːlʔ	h ə ŋ aː l ʔ	h I N a l 7	H V N V R H	H E N A L H	30	1145
580	Bru-Ubon	bru	light -weight		ŋhɛːl	ŋ h ɛː l	N h E l	N H V R	N H E L	30	1145
581	Khmer-Standard	khm	light -weight		sraːl	s r aː l	s r a l	S R V R	S R A L	9	1150
582	Mon	mnw	light -weight		sa	s a	s a	S V	S A	6	1147
583	Vietnamese	vie	light -weight		nhẹ	n h e	n h e	N H V	N H E	30	1145
584	Bahnar-Golar	bdq	liver		kləːm	k l əː m	k l I m	K R V M	K L E M	2	1153
585	Bahnar-Kontum	bdq	liver		kləːm	k l əː m	k l I m	K R V M	K L E M	2	1153
586	Bahnar-Pleiku	bdq	liver		kləːm	k l əː m	k l I m	K R V M	K L E M	2	1153
587	Bru-Talan	oog	liver		lɔˀɔm	l ɔˀɔ m	l o m	R V M	L U M	3	1154
588	Bru-Ubon	bru	liver		luəm	l uə m	l u m	R V M	L Y M	3	1154
589	Khmer-Surin	kxm	liver		tʰlʌːm	tʰ l ʌː m	t l o m	T R V M	T L E M	2	1153
590	Khmer-Standard	khm	liver		tʰlaəm	tʰ l aə m	t l a m	T R V M	T L A M	2	1153
591	Mon	mnw	liver		krə̀h	k r ə̀ h	k r I h	K R V H	K R E H	1	1151
592	Bahnar-Golar	bdq	long		kəɟuːŋ	k ə ɟ uː ŋ	k I C u N	K V K V N	K E C Y N	7	1183
593	Bahnar-Kontum	bdq	long		kəɟuːŋ	k ə ɟ uː ŋ	k I C u N	K V K V N	K E C Y N	7	1183
594	Bahnar-Pleiku	bdq	long		kəɟuːŋ	k ə ɟ uː ŋ	k I C u N	K V K V N	K E C Y N	7	1183
595	Bru-Talan	oog	long		kəjɨːŋ	k ə j ɨː ŋ	k I y I N	K V J V N	K E J I N	7	1183
596	Bru-Ubon	bru	long		ti̤ː	t i̤ː	t i	T V	T I	18	1165
597	Khmer-Surin	kxm	long		weːɲ	w eː ɲ	w e H	W V N	W E N	26	1171
598	Khmer-Standard	khm	long		wɛːŋ	w ɛː ŋ	w E N	W V N	W E N	26	1171
599	Mon	mnw	long		kliŋ	k l i ŋ	k l i N	K R V N	K L I N	32	1175
600	Vietnamese	vie	long		dài	d à i	d a i	T V V	T A I	38	1179
601	Bahnar-Golar	bdq	louse		siː	s iː	s i	S V	S I	1	1186
602	Bahnar-Kontum	bdq	louse		siː	s iː	s i	S V	S I	1	1186
603	Bahnar-Pleiku	bdq	louse		siː	s iː	s i	S V	S I	1	1186
604	Bru-Talan	oog	louse		ŋcaːj	ŋ c aː j	N T a y	N K V J	N C A J	1	1186
605	Bru-Ubon	bru	louse		ɲciː	ɲ c iː	H T i	N K V	N C I	1	1186
606	Khmer-Surin	kxm	louse		ʨaj	ʨ a j	C a y	K V J	C A J	1	1186
607	Khmer-Standard	khm	louse		caj	c a j	T a y	K V J	C A J	1	1186
608	Mon	mnw	louse		coa	c oa	T o	K V	C U	1	1186
609	Vietnamese	vie	louse		chấy	c h a y	T h a i	K H V V	C H A Y	1	1186
610	Bahnar-Golar	bdq	man -male human		drɔʔŋlɔː	d r ɔ ʔ ŋ l ɔː	d r o 7 N l o	T R V H N R V	T R U H N L U	6	1215
611	Bahnar-Kontum	bdq	man -male human		drɔʔŋlɔː	d r ɔ ʔ ŋ l ɔː	d r o 7 N l o	T R V H N R V	T R U H N L U	6	1215
612	Bahnar-Pleiku	bdq	man -male human		drɔʔŋlɔː	d r ɔ ʔ ŋ l ɔː	d r o 7 N l o	T R V H N R V	T R U H N L U	6	1215
613	Bru-Talan	oog	man -male human		koːɲ	k oː ɲ	k o H	K V N	K U N	2	1198
614	Bru-Ubon	bru	man -male human		troːs	t r oː s	t r o s	T R V S	T R U S	10	1190
615	Khmer-Surin	kxm	man -male human		prɔh	p r ɔ h	p r o h	P R V H	P R U H	22	1201
616	Khmer-Standard	khm	man -male human		proh	p r o h	p r o h	P R V H	P R U H	22	1201
617	Mon	mnw	man -male human		kraoh	k r ao h	k r a h	K R V H	K R A H	10	1190
618	Vietnamese	vie	man -male human		đànông	đàn ông	8 o	T V	D U	50	1214
619	Bru-Talan	oog	many		həʔɨj	h ə ʔ ɨ j	h I 7 I y	H V H V J	H E H I J	30	1232
620	Bru-Ubon	bru	many		səʔɨj	s ə ʔ ɨ j	s I 7 I y	S V H V J	S E H I J	30	1232
621	Khmer-Surin	kxm	many		ʨrʌːn	ʨ r ʌː n	C r o n	K R V N	C R E N	38	1240
622	Khmer-Standard	khm	many		craən	c r aə n	T r a n	K R V N	C R A N	38	1240
623	Mon	mnw	many		klàŋ	k l à ŋ	k l a N	K R V N	K L A N	37	1239
624	Vietnamese	vie	many		nhiều	n h i e u	n h i e u	N H V V V	N H I E Y	73	1260
625	Bahnar-Golar	bdq	medicine		pəgaːŋ	p ə g aː ŋ	p I g a N	P V K V N	P E K A N	3	1273
626	Bahnar-Kontum	bdq	medicine		pəgaːŋ	p ə g aː ŋ	p I g a N	P V K V N	P E K A N	3	1273
627	Bahnar-Pleiku	bdq	medicine		pəgaːŋ	p ə g aː ŋ	p I g a N	P V K V N	P E K A N	3	1273
628	Bru-Ubon	bru	medicine		rəhəw	r ə h ə w	r I h I w	R V H V W	R E H E W	7	1275
629	Khmer-Surin	kxm	medicine		tʰnam	tʰ n a m	t n a m	T N V M	T N A M	2	1269
630	Khmer-Standard	khm	medicine		tʰnam	tʰ n a m	t n a m	T N V M	T N A M	2	1269
631	Mon	mnw	medicine		haʔuj	h a ʔ u j	h a 7 u y	H V H V J	H A H Y J	12	1262
632	Vietnamese	vie	medicine		thuốc	t h u o c	t h u o T	T H V V K	T H Y U C	29	1272
633	Bahnar-Golar	bdq	monkey/ape		ɗɔk	ɗ ɔ k	d o k	T V K	T U K	3	1294
634	Bahnar-Kontum	bdq	monkey/ape		ɗɔk	ɗ ɔ k	d o k	T V K	T U K	3	1294
635	Bahnar-Pleiku	bdq	monkey/ape		ɗɔk	ɗ ɔ k	d o k	T V K	T U K	3	1294
636	Bru-Talan	oog	monkey/ape		ɲoˀol	ɲ oˀo l	H o l	N V R	N U L	8	1302
637	Bru-Ubon	bru	monkey/ape		təmi̤r	t ə m i̤ r	t I m i r	T V M V R	T E M I R	7	1301
638	Khmer-Surin	kxm	monkey/ape		swaː	s w aː	s w a	S W V	S W A	16	1284
639	Khmer-Standard	khm	monkey/ape		svaː	s v aː	s v a	S W V	S B A	16	1284
640	Mon	mnw	monkey/ape		nɑe	n ɑe	n o	N V	N A	23	1290
641	Vietnamese	vie	monkey/ape		khi	k h i	k h i	K H V	K H I	33	1296
642	Bahnar-Golar	bdq	moon		kʰɛːj	kʰ ɛː j	k E y	K V J	K E J	2	1311
643	Bahnar-Kontum	bdq	moon		kʰɛːj	kʰ ɛː j	k E y	K V J	K E J	2	1311
644	Bahnar-Pleiku	bdq	moon		kʰɛːj	kʰ ɛː j	k E y	K V J	K E J	2	1311
645	Bru-Talan	oog	moon		kəcʰaːj	k ə cʰ aː j	k I T a y	K V K V J	K E C A J	5	1317
646	Bru-Ubon	bru	moon		kəsaj	k ə s a j	k I s a y	K V S V J	K E S A J	5	1317
647	Khmer-Surin	kxm	moon		kʰɛː	kʰ ɛː	k E	K V	K E	2	1311
648	Khmer-Standard	khm	moon		kʰae	kʰ ae	k a	K V	K A	2	1311
649	Mon	mnw	moon		hataɔ	h a t aɔ	h a t a	H V T V	H A T A	10	1304
650	Vietnamese	vie	moon		tháng	t h á n g	t h a n g	T H V N K	T H A N K	26	1314
651	Bahnar-Golar	bdq	mortar		təpal	t ə p a l	t I p a l	T V P V R	T E P A L	6	1329
652	Bahnar-Kontum	bdq	mortar		hapal	h a p a l	h a p a l	H V P V R	H A P A L	6	1329
653	Bahnar-Pleiku	bdq	mortar		təpal	t ə p a l	t I p a l	T V P V R	T E P A L	6	1329
654	Bru-Talan	oog	mortar		təpaˀlloʔ	təpaˀl loʔ	t l	T R	T L	6	1329
655	Bru-Ubon	bru	mortar		tapal	t a p a l	t a p a l	T V P V R	T A P A L	6	1329
656	Khmer-Surin	kxm	mortar		tbal	t b a l	t b a l	T P V R	T P A L	6	1329
657	Khmer-Standard	khm	mortar		tbal	t b a l	t b a l	T P V R	T P A L	6	1329
658	Mon	mnw	mortar		həi	h əi	h I	H V	H E	13	1324
659	Vietnamese	vie	mortar		cối	c o i	T o i	K V V	C U I	1	1321
660	Bahnar-Golar	bdq	mountain		koːŋ	k oː ŋ	k o N	K V N	K U N	8	1356
661	Bahnar-Kontum	bdq	mountain		koːŋ	k oː ŋ	k o N	K V N	K U N	8	1356
662	Bahnar-Pleiku	bdq	mountain		koːŋ	k oː ŋ	k o N	K V N	K U N	8	1356
663	Bru-Talan	oog	mountain		koh	k o h	k o h	K V H	K U H	15	1337
664	Bru-Ubon	bru	mountain		kɔ̤h	k ɔ̤ h	k o h	K V H	K U H	15	1337
665	Khmer-Surin	kxm	mountain		pʰnʊm	pʰ n ʊ m	p n u m	P N V M	P N Y M	1	1333
666	Khmer-Standard	khm	mountain		pnum	p n u m	p n u m	P N V M	P N Y M	1	1333
667	Mon	mnw	mountain		tə̀	t ə̀	t I	T V	T E	26	1346
668	Bahnar-Golar	bdq	mouth		ɓər	ɓ ə r	b I r	P V R	P E R	5	1386
669	Bahnar-Kontum	bdq	mouth		ɓər	ɓ ə r	b I r	P V R	P E R	5	1386
670	Bahnar-Pleiku	bdq	mouth		ɓər	ɓ ə r	b I r	P V R	P E R	5	1386
671	Bru-Talan	oog	mouth		bɛˀɛʔ	b ɛˀɛ ʔ	b E 7	P V H	P E H	16	1363
672	Bru-Ubon	bru	mouth		bɛːʔ	b ɛː ʔ	b E 7	P V H	P E H	16	1363
673	Khmer-Surin	kxm	mouth		mɯat	m ɯa t	m u t	M V T	M I T	26	1372
674	Khmer-Standard	khm	mouth		mòət	m òə t	m o t	M V T	M U T	26	1372
675	Mon	mnw	mouth		paɲ	p a ɲ	p a H	P V N	P A N	27	1373
676	Vietnamese	vie	mouth		mồm	m o m	m o m	M V M	M U M	40	1381
677	Bru-Talan	oog	mushroom/fungus		triˀiʔ	t r iˀi ʔ	t r i 7	T R V H	T R I H	5	1398
678	Bru-Ubon	bru	mushroom/fungus		tria	t r ia	t r i	T R V	T R I	5	1398
679	Khmer-Surin	kxm	mushroom/fungus		psʌt	p s ʌ t	p s o t	P S V T	P S E T	2	1396
680	Khmer-Standard	khm	mushroom/fungus		psət	p s ə t	p s I t	P S V T	P S E T	2	1396
681	Mon	mnw	mushroom/fungus		pətɑh	p ə t ɑ h	p I t o h	P V T V H	P E T A H	1	1391
682	Bahnar-Golar	bdq	nail/claw		təʔŋjəh	t ə ʔ ŋ j ə h	t I 7 N y I h	T V H N J V H	T E H N J E H	4	1413
683	Bahnar-Kontum	bdq	nail/claw		kəɗiːɲ	k ə ɗ iː ɲ	k I d i H	K V T V N	K E T I N	5	1414
684	Bahnar-Pleiku	bdq	nail/claw		təʔŋjəh	t ə ʔ ŋ j ə h	t I 7 N y I h	T V H N J V H	T E H N J E H	4	1413
685	Bru-Talan	oog	nail/claw		kərniʔajh	k ə r n i ʔ a j h	k I r n i 7 a y h	K V R N V H V J H	K E R N I H A J H	4	1413
686	Bru-Ubon	bru	nail/claw		ntre̤ːh	n t r e̤ː h	n t r e h	N T R V H	N T R E H	4	1413
687	Khmer-Surin	kxm	nail/claw		kcɑːʔ	k c ɑː ʔ	k T o 7	K K V H	K C A H	7	1416
688	Khmer-Standard	khm	nail/claw		krəcaok	k r ə c ao k	k r I T a k	K R V K V K	K R E C A K	7	1416
689	Mon	mnw	nail/claw		hənə̱m	h ə n ə̱ m	h I n I m	H V N V M	H E N E M	6	1415
690	Vietnamese	vie	nail/claw		móng	m ó n g	m o n g	M V N K	M U N K	29	1411
691	Bahnar-Golar	bdq	name		hənan	h ə n a n	h I n a n	H V N V N	H E N A N	8	1440
692	Bahnar-Kontum	bdq	name		mat	m a t	m a t	M V T	M A T	9	1441
693	Bahnar-Pleiku	bdq	name		ʔanan	ʔ a n a n	7 a n a n	H V N V N	H A N A N	8	1440
694	Bru-Talan	oog	name		pərnɨh	p ə r n ɨ h	p I r n I h	P V R N V H	P E R N I H	18	1424
695	Bru-Ubon	bru	name		rəmɨh	r ə m ɨ h	r I m I h	R V M V H	R E M I H	2	1426
696	Khmer-Surin	kxm	name		ʨhmoːh	ʨ h m oː h	C h m o h	K H M V H	C H M U H	2	1426
697	Khmer-Standard	khm	name		cmùəh	c m u ə h	T m u I h	K M V V H	C M Y E H	2	1426
698	Mon	mnw	name		camɔ̀ʔ	c a m ɔ̀ ʔ	T a m o 7	K V M V H	C A M U H	26	1433
699	Vietnamese	vie	name		tên	t ê n	t e n	T V N	T E N	32	1438
700	Bahnar-Golar	bdq	navel		klɔk	k l ɔ k	k l o k	K R V K	K L U K	4	1457
701	Bahnar-Kontum	bdq	navel		klɔk	k l ɔ k	k l o k	K R V K	K L U K	4	1457
702	Bahnar-Pleiku	bdq	navel		klɔk	k l ɔ k	k l o k	K R V K	K L U K	4	1457
703	Bru-Talan	oog	navel		pəːm	p əː m	p I m	P V M	P E M	7	1459
704	Bru-Ubon	bru	navel		talṳːjh	t a l ṳː j h	t a l i y h	T V R V J H	T A L Y J H	9	1461
705	Khmer-Surin	kxm	navel		pʨʌt	p ʨ ʌ t	p C o t	P K V T	P C E T	6	1458
706	Khmer-Standard	khm	navel		pcət	p c ə t	p T I t	P K V T	P C E T	6	1458
707	Mon	mnw	navel		pɔŋlɒt	pɔŋ lɒt	p l	P R	P L	8	1460
708	Vietnamese	vie	navel		rốn	r o n	r o n	R V N	R U N	31	1454
709	Bahnar-Golar	bdq	near		ɟeʔ	ɟ e ʔ	C e 7	K V H	C E H	8	1497
710	Bahnar-Kontum	bdq	near		ɟɛʔ	ɟ ɛ ʔ	C E 7	K V H	C E H	8	1497
711	Bahnar-Pleiku	bdq	near		ɟeʔ	ɟ e ʔ	C e 7	K V H	C E H	8	1497
712	Bru-Talan	oog	near		təmanʔ	t ə m a n ʔ	t I m a n 7	T V M V N H	T E M A N H	18	1469
713	Bru-Ubon	bru	near		cɛ̤ʔ	c ɛ̤ ʔ	T E 7	K V H	C E H	8	1497
714	Khmer-Surin	kxm	near		bɪːt	b ɪː t	b i t	P V T	P I T	24	1475
715	Khmer-Standard	khm	near		biːt	b iː t	b i t	P V T	P I T	24	1475
716	Mon	mnw	near		ɲɔn	ɲ ɔ n	H o n	N V N	N U N	30	1482
717	Vietnamese	vie	near		gần	g a n	g a n	K V N	K A N	59	1494
718	Bahnar-Golar	bdq	neck		həkɔː	h ə k ɔː	h I k o	H V K V	H E K U	6	1513
719	Bahnar-Kontum	bdq	neck		ʔakɔː	ʔ a k ɔː	7 a k o	H V K V	H A K U	6	1513
720	Bahnar-Pleiku	bdq	neck		ʔakɔː	ʔ a k ɔː	7 a k o	H V K V	H A K U	6	1513
721	Bru-Talan	oog	neck		təkɔˀɔŋ	t ə k ɔˀɔ ŋ	t I k o N	T V K V N	T E K U N	11	1500
722	Bru-Ubon	bru	neck		təkɔːŋ	t ə k ɔː ŋ	t I k o N	T V K V N	T E K U N	11	1500
723	Khmer-Surin	kxm	neck		kɑː	k ɑː	k o	K V	K A	6	1513
724	Khmer-Standard	khm	neck		kɔː	k ɔː	k o	K V	K U	6	1513
725	Mon	mnw	neck		kɔʔ	k ɔ ʔ	k o 7	K V H	K U H	6	1513
726	Vietnamese	vie	neck		cổ	c o	T o	K V	C U	6	1513
727	Bru-Talan	oog	needle		coˀor	c oˀo r	T o r	K V R	C U R	7	1532
728	Bru-Ubon	bru	needle		məɲci̤l	m ə ɲ c i̤ l	m I H T i l	M V N K V R	M E N C I L	8	1533
729	Khmer-Surin	kxm	needle		nʨul	n ʨ u l	n C u l	N K V R	N C Y L	8	1533
730	Khmer-Standard	khm	needle		mcul	m c u l	m T u l	M K V R	M C Y L	8	1533
731	Mon	mnw	needle		kanoɲ	k a n o ɲ	k a n o H	K V N V N	K A N U N	16	1522
732	Vietnamese	vie	needle		kim	k i m	k i m	K V M	K I M	25	1527
733	Bahnar-Golar	bdq	new		ʔnaːw	ʔ n aː w	7 n a w	H N V W	H N A W	7	1541
734	Bahnar-Kontum	bdq	new		ʔnaːw	ʔ n aː w	7 n a w	H N V W	H N A W	7	1541
735	Bahnar-Pleiku	bdq	new		hlɛː	h l ɛː	h l E	H R V	H L E	8	1542
736	Bru-Talan	oog	new		təmɛˀɛ	t ə m ɛˀɛ	t I m E	T V M V	T E M E	6	1540
737	Bru-Ubon	bru	new		təmaj	t ə m a j	t I m a y	T V M V J	T E M A J	6	1540
738	Khmer-Surin	kxm	new		tʰmej	tʰ m e j	t m e y	T M V J	T M E J	6	1540
739	Khmer-Standard	khm	new		tməj	t m ə j	t m I y	T M V J	T M E J	6	1540
740	Mon	mnw	new		kamɑɛʔ	k a m ɑɛ ʔ	k a m o 7	K V M V H	K A M A H	6	1540
741	Vietnamese	vie	new		mới	m o i	m o i	M V V	M U I	17	1539
742	Bahnar-Golar	bdq	night		maŋ	m a ŋ	m a N	M V N	M A N	6	1560
743	Bahnar-Kontum	bdq	night		maŋ	m a ŋ	m a N	M V N	M A N	6	1560
744	Bahnar-Pleiku	bdq	night		maŋ	m a ŋ	m a N	M V N	M A N	6	1560
745	Bru-Talan	oog	night		təbɨː	t ə b ɨː	t I b I	T V P V	T E P I	8	1562
746	Bru-Ubon	bru	night		sədaw	s ə d a w	s I d a w	S V T V W	S E T A W	7	1561
747	Khmer-Surin	kxm	night		jʊp	j ʊ p	y u p	J V P	J Y P	12	1546
748	Khmer-Standard	khm	night		jup	j u p	y u p	J V P	J Y P	12	1546
749	Mon	mnw	night		hatɔm	h a t ɔ m	h a t o m	H V T V M	H A T U M	1	1544
750	Vietnamese	vie	night		đêm	đ ê m	8 e m	T V M	D E M	38	1558
751	Bahnar-Golar	bdq	nine		təsin	t ə s i n	t I s i n	T V S V N	T E S I N	1	1564
752	Bahnar-Kontum	bdq	nine		təsin	t ə s i n	t I s i n	T V S V N	T E S I N	1	1564
753	Bahnar-Pleiku	bdq	nine		təsin	t ə s i n	t I s i n	T V S V N	T E S I N	1	1564
754	Bru-Talan	oog	nine		təkiˀajh	t ə k iˀa j h	t I k i y h	T V K V J H	T E K I J H	2	1569
755	Bru-Ubon	bru	nine		təke̤ːh	t ə k e̤ː h	t I k e h	T V K V H	T E K E H	2	1569
756	Khmer-Standard	khm	nine		prambuan	p r a m b ua n	p r a m b u n	P R V M P V N	P R A M P Y N	5	1572
757	Mon	mnw	nine		hacic	h a c i c	h a T i T	H V K V K	H A C I C	8	1574
758	Vietnamese	vie	nine		chín	c h í n	T h i n	K H V N	C H I N	1	1564
759	Bahnar-Golar	bdq	nose		muh	m u h	m u h	M V H	M Y H	1	1575
760	Bahnar-Kontum	bdq	nose		muh	m u h	m u h	M V H	M Y H	1	1575
761	Bahnar-Pleiku	bdq	nose		muh	m u h	m u h	M V H	M Y H	1	1575
762	Bru-Talan	oog	nose		moh	m o h	m o h	M V H	M U H	1	1575
763	Bru-Ubon	bru	nose		muh	m u h	m u h	M V H	M Y H	1	1575
764	Khmer-Surin	kxm	nose		ʨmɔh	ʨ m ɔ h	C m o h	K M V H	C M U H	1	1575
765	Khmer-Standard	khm	nose		crɑmoh	c r ɑ m o h	T r o m o h	K R V M V H	C R A M U H	1	1575
766	Mon	mnw	nose		muh	m u h	m u h	M V H	M Y H	1	1575
767	Vietnamese	vie	nose		mũi	m ũi	m u	M V	M Y	3	1576
768	Bahnar-Golar	bdq	old		kraʔ	k r a ʔ	k r a 7	K R V H	K R A H	10	1580
769	Bahnar-Kontum	bdq	old		kraʔ	k r a ʔ	k r a 7	K R V H	K R A H	10	1580
770	Bahnar-Pleiku	bdq	old		kraʔ	k r a ʔ	k r a 7	K R V H	K R A H	10	1580
771	Bru-Talan	oog	old		tiˀiʔ	t iˀi ʔ	t i 7	T V H	T I H	3	1596
772	Bru-Ubon	bru	old		ti̤aʔ	t i̤a ʔ	t i 7	T V H	T I H	3	1596
773	Khmer-Surin	kxm	old		ʨah	ʨ a h	C a h	K V H	C A H	21	1590
774	Khmer-Standard	khm	old		cah	c a h	T a h	K V H	C A H	21	1590
775	Mon	mnw	old		karem	k a r e m	k a r e m	K V R V M	K A R E M	20	1589
776	Vietnamese	vie	old		già	g i à	g i a	K V V	K I A	10	1580
777	Bahnar-Golar	bdq	one		moːɲ	m oː ɲ	m o H	M V N	M U N	4	1612
778	Bahnar-Kontum	bdq	one		moːɲ	m oː ɲ	m o H	M V N	M U N	4	1612
779	Bahnar-Pleiku	bdq	one		moːɲ	m oː ɲ	m o H	M V N	M U N	4	1612
780	Bru-Talan	oog	one		mo:j	m o: j	m o y	M V J	M U J	2	1607
781	Bru-Ubon	bru	one		muəj	m uə j	m u y	M V J	M Y J	2	1607
782	Khmer-Surin	kxm	one		mʊːj	m ʊː j	m u y	M V J	M Y J	2	1607
783	Khmer-Standard	khm	one		mùəj	m u ə j	m u I y	M V V J	M Y E J	2	1607
784	Mon	mnw	one		mòa	m ò a	m o a	M V V	M U A	2	1607
785	Vietnamese	vie	one		một	m o t	m o t	M V T	M U T	22	1610
786	Bahnar-Golar	bdq	palm -of hand		pəlaʔ	p ə l a ʔ	p I l a 7	P V R V H	P E L A H	2	1622
787	Bahnar-Kontum	bdq	palm -of hand		pəlaʔ	p ə l a ʔ	p I l a 7	P V R V H	P E L A H	2	1622
788	Bahnar-Pleiku	bdq	palm -of hand		pəlaʔ	p ə l a ʔ	p I l a 7	P V R V H	P E L A H	2	1622
789	Bru-Talan	oog	palm -of hand		təlaˀaŋ	t ə l aˀa ŋ	t I l a N	T V R V N	T E L A N	4	1629
790	Bru-Ubon	bru	palm -of hand		təlaːŋ	t ə l aː ŋ	t I l a N	T V R V N	T E L A N	4	1629
791	Khmer-Surin	kxm	palm -of hand		baːt	b aː t	b a t	P V T	P A T	7	1632
792	Khmer-Standard	khm	palm -of hand		baːt	b aː t	b a t	P V T	P A T	7	1632
793	Mon	mnw	palm -of hand		həta	h ə t a	h I t a	H V T V	H E T A	14	1620
794	Vietnamese	vie	palm -of hand		lòngbàn	lòng bàn	l b	R P	L P	30	1628
795	Bahnar-Golar	bdq	penis		lɔː	l ɔː	l o	R V	L U	1	1635
796	Bahnar-Kontum	bdq	penis		lɔː	l ɔː	l o	R V	L U	1	1635
797	Bahnar-Pleiku	bdq	penis		lɔː	l ɔː	l o	R V	L U	1	1635
798	Bru-Talan	oog	penis		kəɲjəŋʔ	k ə ɲ j ə ŋ ʔ	k I H y I N 7	K V N J V N H	K E N J E N H	9	1658
799	Bru-Ubon	bru	penis		klaj	k l a j	k l a y	K R V J	K L A J	7	1657
800	Khmer-Surin	kxm	penis		kdɑː	k d ɑː	k d o	K T V	K T A	14	1640
801	Khmer-Standard	khm	penis		kdɑː	k d ɑː	k d o	K T V	K T A	14	1640
802	Mon	mnw	penis		pò	p ò	p o	P V	P U	21	1646
803	Bahnar-Golar	bdq	person		bəŋaːj	b ə ŋ aː j	b I N a y	P V N V J	P E N A J	6	1676
804	Bahnar-Kontum	bdq	person		bəŋaːj	b ə ŋ aː j	b I N a y	P V N V J	P E N A J	6	1676
805	Bahnar-Pleiku	bdq	person		bəŋaːj	b ə ŋ aː j	b I N a y	P V N V J	P E N A J	6	1676
806	Bru-Talan	oog	person		kuˀj	k uˀ j	k u y	K V J	K Y J	12	1662
807	Bru-Ubon	bru	person		kʉaj	k ʉa j	k I y	K V J	K Y J	12	1662
808	Khmer-Surin	kxm	person		mnɯh	m n ɯ h	m n u h	M N V H	M N I H	7	1677
809	Khmer-Standard	khm	person		mɔnuh	m ɔ n u h	m o n u h	M V N V H	M U N Y H	7	1677
810	Mon	mnw	person		nìh	n ì h	n i h	N V H	N I H	7	1677
811	Vietnamese	vie	person		người	n g u o i	n g u o i	N K V V V	N K Y U I	6	1676
812	Bahnar-Golar	bdq	pig		ɲuŋ	ɲ u ŋ	H u N	N V N	N Y N	4	1693
813	Bahnar-Kontum	bdq	pig		ɲuŋ	ɲ u ŋ	H u N	N V N	N Y N	4	1693
